Date,Open,High,Low,Close,Volume,Days,Interest_Rate,SP500,Interest_Rate_MA30,SP500_MA30,RSI,MACD,BB_Upper,MA_7,Volatility_7
2016-02-05,11.420000076293945,11.533332824707031,10.515999794006348,10.84000015258789,141564000.0,25,0.38,1880.05,0.36166666666666664,1904.9666666666667,19.840651221091974,-0.5389977174951444,14.356734426474958,12.128857203892299,0.8103493975413203
2016-02-06,11.420000076293945,11.533332824707031,10.515999794006348,10.84000015258789,141564000.0,26,0.38,1880.05,0.3623333333333333,1903.5126666666665,19.840651221091974,-0.613520379911277,14.399127697573128,11.85647623879569,0.8850725783258113
2016-02-07,11.420000076293945,11.533332824707031,10.515999794006348,10.84000015258789,141564000.0,27,0.38,1880.05,0.36300000000000004,1902.0586666666668,19.840651221091974,-0.6649153959933027,14.3800633389693,11.584095273699079,0.858444842745751
2016-02-08,10.473333358764648,10.476667404174805,9.733332633972168,9.866000175476074,139695000.0,28,0.38,1853.44,0.3636666666666667,1899.7176666666667,14.796070468947164,-0.7753027669269628,14.46590577627772,11.117904935564313,0.7598600549360803
2016-02-09,9.48799991607666,10.652667045593262,9.403332710266113,9.883333206176758,129774000.0,29,0.38,1852.21,0.36433333333333334,1897.3356666666668,15.209230191324949,-0.8515705477800406,14.51880431853862,10.78904778616769,0.7178740360646129
2016-02-10,10.033332824707031,10.33133316040039,9.449333190917969,9.57800006866455,156097500.0,30,0.38,1851.86,0.36500000000000005,1894.9419999999998,13.927989020309312,-0.9259770588735368,14.535133142484858,10.50514302934919,0.7518712972008765
2016-02-11,10.133333206176758,10.883999824523926,9.800000190734863,10.031332969665527,213786000.0,31,0.38,1829.08,0.36566666666666664,1891.2886666666666,24.14524854430411,-0.9375570049908877,14.406147912935214,10.268380982535225,0.5512463298933827
2016-02-12,10.333333015441895,10.46733283996582,9.579999923706055,10.06933307647705,108537000.0,32,0.38,1864.78,0.36633333333333334,1890.4386666666664,24.949475211245286,-0.9329138544825835,14.226811196382153,10.158285685947963,0.4918095617793414
2016-02-13,10.333333015441895,10.46733283996582,9.579999923706055,10.06933307647705,108537000.0,33,0.38,1864.78,0.367,1888.5366666666669,24.949475211245286,-0.9186445615831147,14.000726153875789,10.0481903893607,0.38935652101396423
2016-02-14,10.333333015441895,10.46733283996582,9.579999923706055,10.06933307647705,108537000.0,34,0.38,1864.78,0.36766666666666664,1888.0183333333334,24.949475211245286,-0.8969960322563715,13.811611592604471,9.938095092773438,0.1817638094243561
2016-02-15,10.333333015441895,10.46733283996582,9.579999923706055,10.06933307647705,108537000.0,35,0.38,1864.78,0.36833333333333335,1887.5,24.949475211245286,-0.8698127567752323,13.621436102072618,9.96714265005929,0.18454805231306476
