Date,Open,High,Low,Close,Volume,Days,Interest_Rate,SP500,Interest_Rate_MA30,SP500_MA30,MACD,MACD_Signal,MACD_Histogram,RSI,BB_Upper,BB_Middle,BB_Lower,MA_7,MA_20,MA_50,MA_100,MA_200,EMA_12,EMA_26,ATR,Volatility_7,Volatility_30d,OBV,Volume_SMA_20,Green_Days_Count,Support_30D,Resistance_30D,Stochastic_K,Stochastic_D,ADX,VWAP
2016-09-03,38.36277298114517,38.40793217269903,38.13448563844736,38.285850524902344,21454000.0,199,0.4,2179.98,0.39666666666666667,2179.8886666666667,0.03589613815132253,0.09656518907909971,-0.06066905092777718,53.36508904915619,38.751108432210465,38.350217628479,37.94932682474754,38.21006229945591,38.350217628479,37.98160186767578,36.569835357666015,36.20672109603882,38.26021811543987,38.22432197728855,0.3520552433134552,0.09079811044201928,5.592780768604913,2638866000.0,19869600.0,18.0,37.875177032317545,39.19354205780149,59.468809264991634,53.04883155477688,24.04095016856341,38.24355653072045
2016-09-04,38.36277298114517,38.40793217269903,38.13448563844736,38.285850524902344,21454000.0,200,0.4,2179.98,0.3966666666666667,2179.7923333333333,0.03528191556732452,0.08430853437674468,-0.049026618809420164,53.36508904915619,38.65821322050067,38.322971725463866,37.98773023042706,38.22367422921317,38.322971725463866,38.03282775878906,36.58909091949463,36.22236873626709,38.264161563049484,38.22887964748216,0.3464403355233276,0.09445684887800224,3.7816128246769045,2660320000.0,20004100.0,17.0,37.875177032317545,39.19354205780149,62.429241475524115,60.4556200018358,23.477572729265315,38.23256190369734
2016-09-05,38.36277298114517,38.40793217269903,38.13448563844736,38.285850524902344,21454000.0,201,0.4,2179.98,0.39666666666666667,2179.696,0.034398613935216815,0.07432655028843911,-0.039927936353222296,53.36508904915619,38.62492450362696,38.3088773727417,37.99283024185644,38.21878269740513,38.3088773727417,38.084053649902344,36.608346481323245,36.24075830459595,38.26749832641146,38.233099712476246,0.3412264925753519,0.08938189463828432,3.7816128246769045,2681774000.0,20048800.0,16.0,37.875177032317545,39.19354205780149,62.429241475524115,61.44243073867997,22.95443653563137,38.22979454275928
2016-09-06,38.38461270556867,38.808928166794864,38.26302326357595,38.713645935058594,28856000.0,202,0.4,2186.48,0.39666666666666667,2179.816333333333,0.06744069108565043,0.07294937844788138,-0.005508687362230952,67.85822639371366,38.62747694765289,38.309299278259275,37.99112160886566,38.29669843401228,38.309299278259275,38.13000907897949,36.63187999725342,36.26040348052979,38.33613642004948,38.26869572896383,0.3558463790498919,0.203213080885863,5.067466818155167,2710630000.0,20567400.0,16.0,37.875177032317545,39.19354205780149,89.79575732568122,71.55141342557648,24.09097927934411,38.254768339872676
2016-09-07,38.70966779700522,38.845152936781616,38.52108359901055,38.7270393371582,17874000.0,203,0.4,2186.16,0.39666666666666667,2179.9919999999997,0.0936282230252985,0.0770851473633648,0.016543075661933693,68.19152505826828,38.66374662524062,38.31637115478516,37.9689956843297,38.390990665980745,38.31637115478516,38.17307601928711,36.65554744720459,36.280115623474124,38.396275330373896,38.3026471073486,0.35357659038711853,0.2302046903050636,5.066662676179826,2728504000.0,20741700.0,17.0,37.875177032317545,39.19354205780149,87.82303776002837,80.0160121870779,25.258461266256802,38.28231091560467
2016-09-08,38.639697761255675,38.727043904903404,38.391062830616505,38.477413177490234,25406000.0,204,0.4,2181.3,0.39666666666666667,2179.9773333333333,0.09316533391019988,0.08030118467273183,0.01286414923746805,56.443574359994855,38.663031116908336,38.31612319946289,37.96921528201745,38.43735722133091,38.31612319946289,38.20695198059082,36.67520004272461,36.298579635620115,38.408758076084105,38.315592742173905,0.3523197678085314,0.20561808344440008,5.294406642330456,2703098000.0,21150500.0,16.0,37.875177032317545,39.19354205780149,59.79391842722174,79.13757117097713,25.43686619355892,38.3122434369457
2016-09-09,38.21835834361104,38.374437182433304,37.70024490356445,37.70024490356445,37710000.0,205,0.4,2127.81,0.3966666666666667,2178.388,0.029744628747195634,0.0701898734876246,-0.04044524474042896,35.77770010297134,38.706622852573,38.27701683044434,37.84741080831568,38.353699275425505,38.27701683044434,38.22782554626465,36.68786018371582,36.31178066253662,38.29975604954262,38.27001142079543,0.3826660896740493,0.34762587743739387,7.800871542503451,2665388000.0,22174500.0,15.0,37.70024490356445,39.19354205780149,0.0,49.20565206241671,24.745810041722873,38.27270284496208
2016-09-10,38.21835834361104,38.374437182433304,37.70024490356445,37.70024490356445,37710000.0,206,0.4,2127.81,0.39666666666666667,2176.4553333333333,-0.02028292804714482,0.05209531318067071,-0.07237824122781553,35.77770010297134,38.72426742963902,38.237910461425784,37.75155349321255,38.27004132952009,38.237910461425784,38.244619598388674,36.70238132476807,36.32761444091797,38.20752356554598,38.22780649359313,0.40348938890224945,0.42787675479234044,7.798023334874811,2703098000.0,23198500.0,15.0,37.70024490356445,39.081387554808146,0.0,19.93130614240725,24.1041150435894,38.23650862924185
2016-09-11,38.21835834361104,38.374437182433304,37.70024490356445,37.70024490356445,37710000.0,207,0.4,2127.81,0.39666666666666667,2174.5806666666667,-0.05924716282279974,0.029826817979976626,-0.08907398080277637,35.77770010297134,38.744660758985326,38.20691814422607,37.66917552946682,38.186383383614675,38.20691814422607,38.261413650512694,36.72090244293213,36.34252758026123,38.12948069447191,38.18872785729471,0.42282530961414955,0.4785217822856851,7.7980699921652965,2740808000.0,24132600.0,14.0,37.70024490356445,39.081387554808146,0.0,0.0,23.50825540246546,38.20325322340557
2016-09-12,37.47543441114114,38.227791154229976,37.419355521722714,38.164764404296875,26220000.0,208,0.4,2159.04,0.39666666666666667,2173.7470000000003,-0.05204382918037709,0.013452688547905885,-0.06549651772828297,49.56337991475112,38.73494149198858,38.19932518005371,37.663708868118846,38.169085366385325,38.19932518005371,38.28749809265137,36.744068756103516,36.35822736740112,38.1349089575219,38.18695278670228,0.4503689041065147,0.4765112266955803,8.701514800728706,2767028000.0,24515400.0,14.0,37.419355521722714,39.081387554808146,52.28013985025822,17.426713283419414,23.84231996288931,38.18069230803073
