Date,Open,High,Low,Close,Volume,Days,Interest_Rate,SP500,Interest_Rate_MA30,SP500_MA30,MACD,MACD_Signal,MACD_Histogram,RSI,BB_Upper,BB_Middle,BB_Lower,MA_7,MA_20,MA_50,MA_100,MA_200,EMA_12,EMA_26,ATR,Volatility_7,Volatility_30d,OBV,Volume_SMA_20,Green_Days_Count,Support_30D,Resistance_30D,Stochastic_K,Stochastic_D,ADX,VWAP
2023-11-19,17.85518940803917,18.083399912839138,17.7821621161475,17.964731216430664,12840900.0,199,5.33,4514.02,5.33,4325.369000000001,0.09695135758296658,0.01611525758203487,0.08083610000093171,60.14449874565614,18.165707818013246,17.57098846435547,16.976269110697693,17.83432606288365,17.57098846435547,17.624275360107422,18.745261878967284,20.786045112609862,17.74758216756542,17.650630809982452,0.3536137412072448,0.19639943838248813,23.724614134260445,1316858000.0,17911035.0,12.0,16.098709028398176,18.175643999199988,84.0491399450489,84.0491399450489,20.664478323640914,17.69060359681741
2023-11-20,17.992116691131304,18.14729991549743,17.763906169481594,18.02863121032715,18248800.0,200,5.33,4547.38,5.33,4336.143,0.11218964219883887,0.03533013450539567,0.0768595076934432,61.73379437864358,18.144812365330377,17.632251453399657,17.119690541468938,17.919089998517716,17.632251453399657,17.622039756774903,18.713071441650392,20.755707139968873,17.790820481836455,17.678630839637616,0.35574088440785856,0.09971761347727003,23.742388174584253,1335106800.0,14742345.0,13.0,16.098709028398176,18.175643999199988,85.31081122227734,84.46969703745839,21.328251522284805,17.73021800597301
2023-11-21,18.019501369230333,18.293355021466,18.00124411085969,18.165555953979492,17662900.0,201,5.33,4538.19,5.33,4346.6106666666665,0.13377272630948056,0.05501865286621265,0.0787540734432679,64.9583288727173,18.178589180117584,17.687712955474854,17.196836730832125,17.982988357543945,17.687712955474854,17.61820629119873,18.682250251770018,20.727845335006712,17.848472092935385,17.714699366625904,0.35119588627917636,0.09264302468223932,23.831113323764676,1352769700.0,14614585.0,14.0,16.098709028398176,18.293355021466,86.60273886846132,85.32089667859584,22.41177042475952,17.765100890684966
2023-11-22,18.256839519652733,18.539820044697137,18.229453633574412,18.293354034423828,21322700.0,202,5.33,4556.62,5.33,4357.929999999999,0.1593527931973142,0.07588548093243297,0.08346731226488124,67.69456920750488,18.268516951728248,17.73375482559204,17.198992699455832,18.040366853986466,17.73375482559204,17.622891273498535,18.659694023132325,20.700622520446778,17.91691546854899,17.757562675351675,0.35284361516763846,0.1393104798185496,23.87162692909546,1374092400.0,14908770.0,14.0,16.098709028398176,18.539820044697137,79.46774267001949,83.79376425358605,24.075923687386624,17.833406826845298
2023-11-23,18.256839519652733,18.539820044697137,18.229453633574412,18.293354034423828,21322700.0,203,5.33,4556.62,5.33,4368.228,0.17757816989636055,0.09622401872521849,0.08135415117114206,67.69456920750488,18.349031878999643,17.773472785949707,17.19791369289977,18.0964412689209,17.773472785949707,17.632273979187012,18.634271373748778,20.67339970588684,17.974829094068195,17.797250924171834,0.3498095291644304,0.15218789480736056,23.490462568372887,1395415100.0,15131190.0,14.0,16.098709028398176,18.539820044697137,79.46774267001949,81.84607473616677,25.621208859826076,17.899151976062896
2023-11-24,18.36638340452434,18.708699184316274,18.36638340452434,18.48505210876465,12663700.0,204,5.33,4559.34,5.33,4380.647,0.20512578241543622,0.11800437146326204,0.08712141095217418,71.55815047650464,18.461326021209018,17.822775650024415,17.18422527883981,18.170772824968612,17.822775650024415,17.64494857788086,18.61372173309326,20.64709059715271,18.053324942483034,17.848199160067598,0.3544906449307172,0.1974679371869141,23.32369510995216,1408078800.0,14920660.0,15.0,16.098709028398176,18.708699184316274,83.66661551916013,80.86736695306637,27.456963700924067,17.96096152540798
2023-11-25,18.36638340452434,18.708699184316274,18.36638340452434,18.48505210876465,12663700.0,205,5.33,4559.34,5.33,4394.717333333333,0.22437105396268464,0.13927770796314656,0.08509334599953808,71.55815047650464,18.553825317714495,17.872078514099123,17.19033171048375,18.245104381016322,17.872078514099123,17.652022018432618,18.594515743255617,20.62181160926819,18.11974450652636,17.895373452563675,0.35362101170651844,0.2047777573794917,16.805065643480535,1420742500.0,14710130.0,16.0,16.098709028398176,18.708699184316274,83.66661551916013,82.26699123611326,29.161593196229347,18.023808594244002
2023-11-26,18.36638340452434,18.708699184316274,18.36638340452434,18.48505210876465,12663700.0,206,5.33,4559.34,5.33,4409.449666666666,0.2368923230784752,0.1588006309862123,0.07809169209226288,71.55815047650464,18.6288563544167,17.92228479385376,17.215713233290817,18.319435937064036,17.92228479385376,17.659095458984375,18.57450351715088,20.596667013168336,18.17594567610148,17.939053353023006,0.35281349514119104,0.17883564081986839,14.472341600235348,1433406200.0,14681215.0,17.0,16.098709028398176,18.708699184316274,83.66661551916013,83.66661551916013,30.74446344186996,18.08771952698668
2023-11-27,18.43028086113864,18.503308153054018,18.265969019052047,18.402894973754883,32839900.0,207,5.33,4550.43,5.33,4423.885,0.23744896106780544,0.17453029700253095,0.0629186640652745,67.25281900076382,18.684485619861885,17.947844314575196,17.211203009288507,18.372902188982284,17.947844314575196,17.66452575683594,18.553669719696046,20.57223133087158,18.210860952663545,17.97341199159574,0.34456532648838956,0.1253532738691313,14.63373538087488,1400566300.0,15714580.0,17.0,16.098709028398176,18.708699184316274,75.6361413315908,80.98979078997036,31.44369991172432,18.170843603443664
2023-11-28,18.39376634462696,18.485050894798178,18.329867681839506,18.402894973754883,19154500.0,208,5.33,4554.89,5.33,4438.469,0.2351791023863079,0.18666005807928637,0.04851904430702153,67.25281900076382,18.72410756926893,17.993486404418945,17.26286523956896,18.40680776323591,17.993486404418945,17.673569679260254,18.532835922241212,20.5455562210083,18.24040464821606,18.005225545829752,0.33103803266483833,0.08577164433206219,14.63373538087488,1419720800.0,15994700.0,18.0,16.098709028398176,18.708699184316274,67.63267660113888,75.64514448396328,32.09299091944622,18.222732105496153
