Date,Open,High,Low,Close,Volume
2015-11-23,51.358134849712094,51.564150543338826,50.95374100385559,51.0300407409668,11339000
2015-11-24,50.488306998833046,51.22842670225305,50.38911791886944,50.95374298095703,10910000
2015-11-25,51.068203804860005,51.21317740947547,50.77826241692705,51.014793395996094,7772000
2015-11-27,51.121624955446926,51.3734194306975,50.84694113177343,51.25133514404297,4052500
2015-11-30,51.33524950049191,51.51837004805032,50.877445220947266,50.877445220947266,15147500
2015-12-01,51.381035652011974,51.75491434347513,51.11398360189407,51.58705139160156,12708800
2015-12-02,51.75490951132571,51.79305647418201,50.72484837344473,50.86219024658203,13440900
2015-12-03,50.99189585163163,51.1444953320445,50.038134545808646,50.205997467041016,14626900
2015-12-04,50.43490636149927,51.88462498867784,50.3814959509805,51.80069351196289,17786000
2015-12-07,51.62520908166432,51.6938771205162,50.663815788647554,51.121620178222656,11686000
2015-12-08,50.549352559808796,51.09108831887521,50.129695228906506,50.32807922363281,13084500
2015-12-09,50.06103151789945,50.80115133546212,49.62611652899018,49.94657897949219,16770200
2015-12-10,50.00762093332388,50.740109026732995,49.656637419063124,50.061031341552734,12839000
2015-12-11,49.442993175031745,49.717676923216175,48.458707803604995,48.88599395751953,17889300
2015-12-14,49.00807042571094,49.412464262606456,48.52737103209829,49.0385856628418,17638200
2015-12-15,49.649003720813546,50.854559540036426,49.649003720813546,50.43490219116211,18126600
2015-12-16,51.05294664355036,51.686239833994584,50.289937469296476,51.52600860595703,21720000
2015-12-17,51.80831567926336,51.884615420033406,50.419639440579054,50.57223892211914,18122100
2015-12-18,50.33570700342213,50.33570700342213,49.13778305053711,49.13778305053711,23819600
2015-12-21,49.610842383003224,50.022867939601916,49.465874632173495,50.00761032104492,18869300
2015-12-22,50.29755765432072,50.35859977843625,49.58033307050398,50.114437103271484,12149500
2015-12-23,50.45015624647221,51.00714954628732,50.396745850307795,50.915592193603516,12524500
2015-12-24,50.831665876490284,51.03767576214478,50.60276082905447,50.816402435302734,4468200
2015-12-28,50.57986866451045,50.70194708070888,50.13732203553537,50.648536682128906,6610600
2015-12-29,50.99952746394231,51.35051678654597,50.92322771518843,51.17502212524414,9820800
2015-12-30,51.15213830859713,51.15977003068626,50.70195984611144,50.808780670166016,7190700
2015-12-31,50.50357687144645,50.95374947010904,50.35860327193922,50.381492614746094,14654300
2016-01-04,49.12176585970946,49.20625744339964,48.39972396317406,48.868282318115234,25393200
2016-01-05,48.92971971764851,49.26001182921355,48.422755711984735,48.952762603759766,16566700
2016-01-06,48.17696596069066,48.491898172237576,47.88507664042115,48.246097564697266,22961500
2016-01-07,47.20913015910179,47.62391984160937,46.14911598848214,46.29505920410156,27630900
2016-01-08,46.95563989685692,47.063177289483285,45.20430701779814,45.25807571411133,22373300
2016-01-11,45.18894958496094,45.488518889881234,44.58212805797276,45.18894958496094,20925500
2016-01-12,45.66518691808304,45.74968142385837,44.628212888350795,45.28880310058594,22971600
2016-01-13,45.67287108188274,45.841860108888206,43.71414608681998,44.04444122314453,28808100
2016-01-14,44.67429891349945,45.6114154773151,44.00602875463743,44.70502471923828,31296300
2016-01-15,43.36080754831207,44.221109718080214,43.18413853587059,43.814002990722656,38131700
2016-01-19,44.3440190058437,44.52837097320479,43.406902121260465,43.79096603393555,22818900
2016-01-20,42.730933207119485,43.153402741751066,41.98584860210684,42.638755798339844,34646100
2016-01-21,42.81544411590621,43.414582851819844,42.29311698658536,42.43906021118164,31301100
2016-01-22,43.35313384053353,43.90618681796076,43.24559641273938,43.74488067626953,22732200
2016-01-25,43.38386243167558,43.66806892761848,42.707909074942826,42.753997802734375,21114400
2016-01-26,42.899926998279064,43.89849526222972,42.86920411998663,43.8447265625,17535700
2016-01-27,43.844728800758006,44.75879967300075,43.44530206082202,43.814002990722656,20560000
2016-01-28,44.18270781175179,44.52836587965495,43.49907459421821,43.998355865478516,15497900
2016-01-29,44.42083729641266,45.73433528540259,44.17503367578919,45.703609466552734,26992200
2016-02-01,45.44242804710577,45.818811854984745,44.88937524538131,45.21199035644531,16807900
2016-02-02,44.459238212750535,44.53604982124773,43.59125297189204,43.80632781982422,22448200
2016-02-03,44.06747975904764,44.397774862717,42.26238106425633,44.09820556640625,31543200
2016-02-04,43.829366625000034,44.95083233837924,43.829366625000034,44.85865783691406,21651300
2016-02-05,44.99691079358482,45.42706032245202,44.1058800719624,44.3593635559082,22001300
2016-02-08,43.54515666269332,43.72182567559942,42.661811598162835,43.42993927001953,28267600
2016-02-09,42.469788879621966,43.54516609505515,42.34688854271031,43.168785095214844,26300000
2016-02-10,43.45297965082221,44.098206975092964,42.60804043268937,42.646446228027344,22389600
2016-02-11,41.40209684758216,41.40977683765103,40.32671656705709,40.764549255371094,44334700
2016-02-12,42.74630533169546,44.221109028293135,42.37760147737156,44.15966033935547,37011400
2016-02-16,44.728069344828555,45.01227573351057,44.274873948196806,44.82024383544922,23730700
2016-02-17,45.20431291817032,45.511565163071005,44.850974887656726,45.14286422729492,21580100
2016-02-18,45.196627014286356,45.21198991753781,43.97530404245063,44.40545654296875,17037800
2016-02-19,44.167334942429214,44.68197900397046,43.844722771942,44.41313552856445,15658200
2016-02-22,44.94314621178719,45.22735554378915,44.87401460808054,44.989234924316406,14882800
2016-02-23,44.47458796020667,44.62053114523595,42.98441858284018,43.10731887817383,31772500
2016-02-24,42.40063806313231,43.176445539288224,41.73236796682239,43.122676849365234,25560100
2016-02-25,43.11501565735349,43.806328942063566,43.04588403586497,43.79096603393555,14473300
2016-02-26,44.274870663487526,44.63589154271483,43.89080689585814,44.19805908203125,20947500
2016-02-29,44.09821245114334,44.251838581746654,43.2379102220094,43.24559020996094,19554100
2016-03-01,43.59892269547094,45.4731559753418,43.52979109203022,45.4731559753418,23958100
2016-03-02,45.47315546396104,46.01084538132273,45.28880354680086,45.90330505371094,20943100
2016-03-03,45.76505174254752,46.05693817138672,45.39634785212212,46.05693817138672,15790600
2016-03-04,46.164477732336266,46.5101358143277,45.72664513853875,46.12607192993164,18459000
2016-03-07,45.7343232536592,46.12606708532146,45.56533422461784,46.04157257080078,12832400
