Date,Open,High,Low,Close,Volume,Days,Interest_Rate,SP500,Interest_Rate_MA30,SP500_MA30,RSI,MACD,BB_Upper,MA_7,Volatility_7
2015-12-18,5.2000319256977745,5.204294344571776,4.624618791766529,4.726914405822754,34507100.0,25,0.37,2005.55,0.14433333333333334,2067.362666666667,21.350905883479186,-0.7039164313830879,8.33169092985483,5.391227790287563,0.372365329660873
2015-12-19,5.2000319256977745,5.204294344571776,4.624618791766529,4.726914405822754,34507100.0,26,0.37,2005.55,0.15266666666666667,2064.6613333333335,21.350905883479186,-0.7284268486873362,8.133193500306346,5.254224504743304,0.41932581736301433
2015-12-20,5.2000319256977745,5.204294344571776,4.624618791766529,4.726914405822754,34507100.0,27,0.37,2005.55,0.161,2061.96,21.350905883479186,-0.7393290064192994,7.849053528611332,5.1172212191990445,0.41135861430676907
2015-12-21,4.790850293068815,5.033802946940352,4.620357559199966,5.016753673553467,33088000.0,28,0.36,2021.15,0.169,2059.7786666666666,29.346775636657327,-0.7163241000208744,7.4450144827332405,5.049633094242641,0.3773911720014234
2015-12-22,5.110523545646449,5.4813454793189935,4.961342532230598,5.055113315582275,45897800.0,29,0.36,2038.97,0.17700000000000002,2058.1913333333337,30.355931220123807,-0.6870770469255554,7.077586430042596,4.973520278930664,0.2956033300776314
2015-12-23,5.242656990585725,5.980038620924831,5.2000336010862345,5.954464912414551,39672700.0,30,0.36,2064.29,0.185,2057.448,48.8149596559045,-0.5845896039049885,6.844659731084964,5.031366620744977,0.4342268289456476
2015-12-24,5.967250696899443,6.061021893095567,5.6347897004598915,5.724298477172852,14342500.0,31,0.36,2060.99,0.193,2056.509666666667,45.49177302882497,-0.5159920396328852,6.73615099951275,5.133053370884487,0.5064146102606739
2015-12-25,5.967250696899443,6.061021893095567,5.6347897004598915,5.724298477172852,14342500.0,32,0.36,2060.99,0.201,2055.5803333333333,45.49177302882497,-0.45636725805636136,6.61738858865177,5.275536809648786,0.5133624043867787
2015-12-26,5.967250696899443,6.061021893095567,5.6347897004598915,5.724298477172852,14342500.0,33,0.36,2060.99,0.209,2054.651,45.49177302882497,-0.4044519191225451,6.485888379241741,5.418020248413086,0.47249965245685155
2015-12-27,5.967250696899443,6.061021893095567,5.6347897004598915,5.724298477172852,14342500.0,34,0.36,2060.99,0.217,2053.6803333333332,45.49177302882497,-0.3591683695975032,6.4997970029596175,5.560503687177386,0.3682399319569828
2015-12-28,5.583641926137403,5.818069308577701,5.502657581323698,5.741347789764404,15835200.0,35,0.36,2056.5,0.225,2052.56,45.85899757662197,-0.31823665919767485,6.5093882868175355,5.664017132350376,0.2815549572550976
2015-12-29,5.843641904245344,5.980036041431157,5.5452795259080805,5.732821464538574,16084900.0,36,0.36,2078.36,0.233,2052.1683333333335,45.693206562005685,-0.2832211894243972,6.40906034780204,5.760832582201276,0.08563169436000906
2015-12-30,5.579379667348457,5.720036263459199,5.455772343296996,5.617740631103516,14440400.0,37,0.35,2063.36,0.242,2051.6,43.41196306156171,-0.26174006233275193,6.225588364493731,5.712729113442557,0.042388960222740295
2015-12-31,5.6347913667208855,5.93741632924074,5.541020142795726,5.85643196105957,11379800.0,38,0.2,2043.94,0.24433333333333332,2049.6436666666664,49.089332183807805,-0.22288642290738814,6.248059244282754,5.731605325426374,0.06928614853958769
2016-01-01,5.6347913667208855,5.93741632924074,5.541020142795726,5.85643196105957,11379800.0,39,0.2,2043.94,0.24666666666666665,2048.458,49.089332183807805,-0.18990552110224623,6.26993001941248,5.750481537410191,0.08350403339240109
2016-01-02,5.6347913667208855,5.93741632924074,5.541020142795726,5.85643196105957,11379800.0,40,0.2,2043.94,0.249,2048.268666666667,49.089332183807805,-0.16190161773807876,6.291229957240178,5.7693577493940085,0.09118050004695821
2016-01-03,5.6347913667208855,5.93741632924074,5.541020142795726,5.85643196105957,11379800.0,41,0.2,2043.94,0.25133333333333335,2046.677,49.0893321838078,-0.13811620492868126,6.326678990417027,5.788233961377825,0.09393322291656
2016-01-04,5.805283513780184,6.133482559346853,5.77970980501384,5.9970879554748535,15549100.0,42,0.36,2012.66,0.259,2044.0426666666667,52.83958427994688,-0.1066865149402858,6.3753402075071115,5.824768270765032,0.11903717180631021
2016-01-05,6.06954445540735,6.095118557939659,5.809543044347281,5.958724021911621,11103000.0,43,0.36,2016.71,0.26666666666666666,2041.5433333333335,51.72049708362873,-0.08390668398074386,6.417708309558754,5.857040064675467,0.12056722671362487
2016-01-06,5.796758277539538,5.796758277539538,5.02954021044067,5.0849504470825195,20661500.0,44,0.36,1990.26,0.2743333333333334,2038.6496666666667,34.03839032238204,-0.1348057718594271,6.413421929580991,5.7809271812438965,0.31238990019460744
2016-01-07,4.9613430804712735,5.080687985689195,4.488225066291339,4.501012325286865,22140500.0,45,0.36,1943.09,0.282,2034.633,27.317027198802265,-0.21972968493486356,6.447826718045196,5.587295804704938,0.5708989979735871
2016-01-08,4.69281745561095,4.735440439312473,4.15150227005872,4.611833095550537,39012500.0,46,0.36,1922.03,0.28933333333333333,2030.4466666666665,30.136561114844454,-0.2749210689480339,6.462954454224439,5.409495966775077,0.6599694115439216
2016-01-09,4.69281745561095,4.735440439312473,4.15150227005872,4.611833095550537,39012500.0,47,0.36,1922.03,0.2966666666666667,2026.1066666666668,30.136561114844454,-0.31502917814413056,6.477494581818666,5.231696128845215,0.686607911112023
2016-01-10,4.69281745561095,4.735440439312473,4.15150227005872,4.611833095550537,39012500.0,48,0.36,1922.03,0.304,2023.0953333333334,30.136561114844454,-0.342862834316068,6.513071557698389,5.053896290915353,0.658436074475877
2016-01-11,4.611832550220826,4.616094970032997,4.270847094981625,4.385929584503174,24750600.0,49,0.36,1923.67,0.31133333333333335,2020.1386666666667,27.427682066349107,-0.3787833540293004,6.573771652012445,4.82373080934797,0.5457356422713314
2016-01-12,4.479701907584055,4.6246209655248265,3.5292035957008485,3.827566146850586,56516500.0,50,0.36,1938.68,0.3186666666666667,2017.6823333333334,22.13226218135867,-0.4471514046255809,6.647961572201382,4.519279684339251,0.3746699385417488
2016-01-13,3.8957624780865556,3.9000244911826463,3.149855920295627,3.448218584060669,54076800.0,51,0.36,1890.28,0.32566666666666666,2013.2936666666667,19.392846903997835,-0.5258817181685789,6.762176409699686,4.285460846764701,0.46309738071592277
2016-01-14,3.469530958680959,4.347569241298013,3.4226451470112313,4.245273590087891,56151100.0,52,0.36,1921.84,0.3326666666666666,2009.2413333333336,37.02914199753313,-0.5179893226782317,6.729301362120762,4.248926741736276,0.4532410127901437
2016-01-15,3.4823169107517735,4.25379692174854,3.426906679088394,3.7423183917999268,28845600.0,53,0.36,1880.33,0.3396666666666667,2002.8166666666666,32.236189114851754,-0.5460245919132865,6.723481725866616,4.124710355486188,0.4563455412925362
2016-01-16,3.4823169107517735,4.25379692174854,3.426906679088394,3.7423183917999268,28845600.0,54,0.36,1880.33,0.3393333333333333,1997.4313333333334,32.236189114851754,-0.5617670439702289,6.6900781303991055,4.000493969236102,0.41841657751940037
2016-01-17,3.4823169107517735,4.25379692174854,3.426906679088394,3.7423183917999268,28845600.0,55,0.36,1880.33,0.339,1993.2573333333335,32.236189114851754,-0.5676989702943835,6.629641620287578,3.876277582986014,0.3254089020470201
2016-01-18,3.4823169107517735,4.25379692174854,3.426906679088394,3.7423183917999268,28845600.0,56,0.36,1880.33,0.33866666666666667,1989.0833333333333,32.236189114851754,-0.5658769869837421,6.547406398922309,3.7843331268855502,0.23606819014435867
2016-01-19,3.7721547158899424,3.8105152682034755,3.196741146860407,3.2137904167175293,30438000.0,57,0.36,1881.33,0.3383333333333333,1984.9426666666666,27.25063388822639,-0.6001625423796,6.503520545769518,3.696650879723685,0.31733310501408807
2016-01-20,3.0518222553552863,3.171167351725103,2.8131322658589886,2.9836251735687256,27798400.0,58,0.37,1859.33,0.3386666666666666,1979.5486666666666,25.407771693278633,-0.6385457457200809,6.406525456506786,3.6302803925105502,0.4123213872547958
2016-01-21,3.0646092891693115,3.3203485473896386,2.97083809910108,3.0646092891693115,30766400.0,59,0.37,1868.99,0.339,1973.8826666666666,27.27142914600121,-0.6548809101045125,6.258328105533715,3.4616140638078963,0.3565301318142669
2016-01-22,3.384283717439967,4.130189869717879,3.3544473900515097,4.104616165161133,49755700.0,60,0.38,1906.9,0.3396666666666667,1968.6363333333331,45.94826169220521,-0.5772525740290981,6.044069252686706,3.5133708885737827,0.42398659758127644
2016-01-23,3.384283717439967,4.130189869717879,3.3544473900515097,4.104616165161133,49755700.0,61,0.38,1906.9,0.3403333333333333,1963.5,45.94826169220521,-0.5098542756904796,5.801126036865977,3.5651277133396695,0.47556815933781105
2016-01-24,3.384283717439967,4.130189869717879,3.3544473900515097,4.104616165161133,49755700.0,62,0.38,1906.9,0.34099999999999997,1958.3636666666669,45.94826169220521,-0.45123903595862114,5.476369361657601,3.616884538105556,0.5160572183718757
2016-01-25,3.942646890283359,4.752487710557732,3.870187401402466,3.908548355102539,44343500.0,63,0.38,1877.08,0.3416666666666667,1952.2333333333333,43.328305590187874,-0.4158138268747047,5.07768149523265,3.640631675720215,0.5265100442980974
2016-01-26,4.117403268506742,4.266584711302325,3.691171039361336,4.219698905944824,35513100.0,64,0.38,1903.63,0.3423333333333334,1946.988,48.36048422456124,-0.3584992877602895,4.919480809521077,3.784332888466971,0.5278655269730927
2016-01-27,4.155762804451084,4.206910605573629,3.6314975380800485,3.7721540927886963,37001800.0,65,0.38,1882.95,0.34299999999999997,1941.203,42.51308068592092,-0.34521085289096254,4.851233192779277,3.896979876926967,0.3962411213941875
