Date,Open,High,Low,Close,Volume
2015-11-27,16.00232792876529,16.019004497443515,15.527011525324593,15.66877269744873,251900
2015-11-30,15.635417213889063,15.660434454017366,15.060033415073217,15.168439865112305,1243900
2015-12-01,15.210133876027772,15.518673479624358,15.12674466501381,15.401927947998047,776000
2015-12-02,15.443616652324193,15.71879981598746,15.201788204293575,15.276838302612305,503700
2015-12-03,15.368572557893442,15.376911637688405,14.701460488948037,14.843221664428711,778800
2015-12-04,14.751490428479379,15.251823928599658,14.751490428479379,15.009995460510254,711700
2015-12-07,14.951628213355846,15.235150566253461,14.701460589349029,15.135083198547363,591700
2015-12-08,14.909930168060878,15.101725789583577,14.809864408630103,15.00165843963623,569900
2015-12-09,14.884917307492696,15.151761503239946,14.526344823013504,14.759834289550781,600900
2015-12-10,14.7514919754206,15.001657956456663,14.743152897317197,14.851557731628418,541200
2015-12-11,14.593053517022325,14.801525710122643,14.43461420492143,14.609731674194336,646300
2015-12-14,14.643086644304487,14.759832155955507,14.192787526702833,14.384581565856934,1063800
2015-12-15,14.484650372166282,14.734816396967144,14.301193802829975,14.568037986755371,671600
2015-12-16,14.643087001455863,14.684782396104138,14.242820755932469,14.417938232421875,1151500
2015-12-17,14.426271692025642,14.442949845227263,14.109394733776009,14.376238822937012,725500
2015-12-18,14.251157527306718,14.3679014323853,14.042685359371296,14.051024436950684,3101100
2015-12-21,14.167770417054404,14.284514339231412,13.942620060984474,14.04268741607666,727700
2015-12-22,14.134415502648304,14.509664500544742,14.034348148899277,14.476309776306152,769200
2015-12-23,14.651424240758459,14.94328560458369,14.576374130331502,14.784846305847168,1014500
2015-12-24,14.776510967739203,14.851561097160534,14.584716899447745,14.701460838317871,356300
2015-12-28,14.626410249211524,14.651425895167575,14.392920813682895,14.551360130310059,737200
2015-12-29,14.626411313127734,14.843221016261843,14.384582781184411,14.492987632751465,688300
2015-12-30,14.451149871241194,14.576666194955912,14.325633547526477,14.384207725524902,525300
2015-12-31,14.30889882017307,14.434415154484974,13.974188063332399,13.98255443572998,816700
2016-01-04,13.672944825609372,13.898875139404826,13.472118412022233,13.882139205932617,1340500
2016-01-05,14.14990510452886,14.241951125342577,13.848664742612081,14.133169174194336,1184800
2016-01-06,13.882142995508811,14.141543651033954,13.647844651018003,13.764994621276855,942500
2016-01-07,13.505588435761869,13.957449055082858,13.480486132039434,13.731518745422363,981800
2016-01-08,13.756625773519449,13.790096051436201,13.137409671791577,13.16251277923584,1528300
2016-01-11,13.09556862023857,13.204349799842188,12.719018874234212,13.062097549438477,873400
2016-01-12,13.262924548450696,13.488854871048876,12.936581015146634,13.187614440917969,846200
2016-01-13,13.187616770252747,13.354972150989273,12.727388874717246,12.78596305847168,1092200
